지역,세부지역,좌표,년,월,"Total Monthly Precipitation
 (in millimeters)(강수량)","Mean Daily Air Temperature
 (in deg Celsius) 
평균 일일 공기 온도(도)","Mean Daily Minimum Air Temperature
 (in deg Celsius) 
 일일최소 온도(도)","Mean Daily Maximum Air Temperature
 (in deg Celsius)  
일일최대 온도(도)",Regosol,Cambisol,Fluvisol,Arenosols,Solonchak,Rendzina,Podzols,Lithosols,Gleysols,Phaeozems,Ferralsols,Luvisol,Histosols,Acrisols,Andosols,Outcrops,과일
멕시코,MANZANILLO,"19.117329, -104.336101",2013,5,0.5,26.8,22.3,31.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,5,107.2,28.9,24.3,32.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,5,19.4,28.3,24.8,32.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,5,3.9,26.4,20.2,33.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,6,2.1,28.6,25.9,33.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,6,23.2,27.9,25.2,31.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,6,178.2,28.3,25.5,32.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,6,27.4,27.8,25.1,31.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,6,63.4,29.2,26.0,33.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,6,273.5,28.0,24.9,31.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,6,48.6,28.8,25.7,33.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,6,292.1,29.1,26.1,33.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,6,26.6,29.6,26.9,33.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,6,69.0,28.6,23.8,34.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,7,359.7,29.0,25.8,33.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,7,475.3,28.1,25.0,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,7,47.1,29.6,26.6,33.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,7,355.0,28.2,25.7,31.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,7,590.0,28.3,25.6,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,7,36.5,29.2,25.6,33.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,7,200.5,28.9,25.6,32.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,7,72.2,29.8,26.2,34.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,7,94.3,29.7,26.5,34.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,7,149.0,29.4,23.8,36.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,8,217.9,28.3,25.4,32.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,8,98.7,28.4,25.7,32.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,8,84.7,29.2,26.1,33.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,8,357.6,28.4,25.8,32.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,8,294.4,26.6,25.6,32.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,8,204.4,28.8,25.5,32.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,8,327.7,28.7,26.6,30.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,8,335.6,29.4,25.6,33.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,8,47.6,30.0,25.6,34.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,8,362.1,29.4,23.8,36.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,9,339.6,28.2,25.3,32.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,9,326.3,27.9,25.3,31.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,9,141.9,29.2,26.1,30.3,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,9,418.9,28.0,25.5,31.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,9,208.3,28.4,25.4,32.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,9,238.9,28.7,25.5,32.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,9,462.4,27.8,25.1,31.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,9,494.0,27.9,25.1,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,9,240.6,29.2,26.1,34.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,9,235.3,29.0,22.9,36.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,10,123.5,27.8,24.8,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,10,112.1,28.1,25.2,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,10,150.3,28.1,25.6,31.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,10,0.0,27.8,24.7,32.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,10,373.8,28.0,25.2,31.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,10,137.1,28.9,25.7,33.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,10,108.6,28.9,25.7,32.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,10,76.6,28.7,25.7,32.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,10,586.3,29.1,26.4,33.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,10,46.8,29.5,24.0,35.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,11,0.0,26.7,23.3,31.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,11,0.7,26.6,23.0,31.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,11,0.0,27.5,23.8,32.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,11,0.0,25.1,21.5,30.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,11,0.0,26.6,23.1,30.9,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,11,30.4,27.5,24.3,31.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,11,123.4,27.7,24.4,31.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2014,11,427.7,26.9,23.8,31.4,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2015,11,0.8,29.0,26.2,33.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2016,11,38.2,27.9,23.1,35.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2007,12,0.3,25.1,21.6,30.0,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2008,12,0.0,25.2,21.0,30.6,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2009,12,55.2,25.7,22.0,30.5,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2010,12,0.0,23.4,19.6,28.2,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2011,12,0.0,26.2,21.2,29.7,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2012,12,7.0,26.4,22.4,31.1,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
멕시코,MANZANILLO,"19.117329, -104.336101",2013,12,71.1,26.7,23.3,30.8,0.68,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,아보카도
