지역,일시,강수량,평균 일일 공기 온도(도),일일최소 온도(도),일일최대 온도(도),Regosol,Cambisol,Fluvisol,Arenosols,Solonchak,Rendzina,Podzols,Lithosols,Gleysols,Phaeozems,Ferralsols,Luvisol,Histosols,Acrisols,Andosols,Outcrops
홍천,2017-11-01,27.3,3.4,-9.6,18.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-12-01,16.1,-3,-17.3,12.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2019-03-01,38.5,5.7,-5.6,18.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-02-01,7.8,-1.6,-15.4,12.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-03-01,18.8,4.7,-7.5,19.4,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-02-01,24.6,-3.6,-19.5,10.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2019-02-01,20,-0.1,-12.5,13.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-01-01,10.5,-3.7,-18.2,11.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2017-12-01,20.2,-4.3,-17.9,8.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2018-01-01,3.7,-6.1,-21.7,8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍천,2019-01-01,0,-3.5,-14.9,8.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
홍성,2018-08-01,211.3,27.6,19.5,37,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-07-01,222.3,26.6,17.8,35.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-08-01,290.2,25,14.4,35.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-07-01,441.8,26.5,21.1,33.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-06-01,88.2,21.9,13.5,32.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-09-01,88.6,20.3,8.5,29.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-09-01,53,20.2,8.4,30,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-05-01,112.7,17.6,7.7,28.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-06-01,20.5,22.1,11.5,32.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-10-01,24.2,14.3,-0.7,25.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2019-05-01,21.7,17.9,3.7,30.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-04-01,155.2,12.2,0,27.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-05-01,30.4,18.4,8.6,29.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-10-01,203.9,12.3,-0.1,25,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2019-04-01,46.6,11.2,-2.5,27.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-03-01,70.4,7.5,-6.3,21.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-11-01,66.1,6.9,-4,18.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-11-01,17.7,5.9,-6.4,20.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-12-01,31.3,0,-13.2,15.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-04-01,44,13.3,-0.6,27.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2019-03-01,36.6,6.2,-4.7,17.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-02-01,31,0.7,-9,12.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-12-01,33.6,-0.5,-11.6,10.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2019-02-01,23.2,0.7,-8.2,13,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-01-01,13.3,-1,-14.2,12.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-02-01,33.5,-1.3,-15.6,11.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2018-01-01,15.5,-3.2,-16.6,8.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2017-03-01,9.8,5.7,-4.5,17.9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
홍성,2019-01-01,0.3,-0.9,-10.9,9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-08-01,204.2,27.5,20.3,36.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-07-01,162.7,27.2,20.7,34.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-08-01,198.9,26.6,14.6,37.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-07-01,18.8,26.7,17.9,36.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-09-01,86.5,21.3,8.2,30.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-09-01,128.4,20.7,7.8,29.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-06-01,238.9,21.7,11.9,33.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-06-01,24.4,21.6,9.1,32.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-05-01,75.3,18,2.8,29.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-10-01,113.3,15.7,-0.3,28.9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-10-01,214.1,13.3,1.2,25,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2019-05-01,99,16.7,-0.6,28.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-05-01,9.6,17.7,4.5,31.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-04-01,120.1,13,-1.3,26.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-11-01,44.6,7.9,-3.9,20,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-12-01,36,2.3,-8.9,20.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2019-04-01,61.1,10.9,-5.3,24.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-04-01,42.7,12.9,-3.3,26.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-11-01,2.2,7.3,-5.3,21.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-03-01,147.6,8,-4.1,23,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2019-03-01,49,6.5,-5.3,19.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2019-02-01,33.5,2.2,-9.8,14.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-02-01,23.7,1.9,-9.1,15.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-12-01,28.5,1.1,-9.8,14.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-02-01,24.3,0.3,-12.1,15.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-03-01,24,5.5,-7.4,19.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2017-01-01,8.8,1.6,-10.4,13.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2018-01-01,44.8,-0.9,-14,11.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
해남,2019-01-01,14.5,0.5,-10,9.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
합천,2017-08-01,158.2,25.9,13.3,38.4,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-07-01,113.6,27.1,17.6,37.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-07-01,206.9,27.6,17.1,39.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-08-01,319,27.3,15.7,38.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-09-01,137.9,20.3,9.2,31.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-06-01,123.7,22.9,12.3,36.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-06-01,164.6,22.9,10.6,36.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-05-01,88.8,18.8,6,32.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-10-01,239,12.7,1,27.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-09-01,106.5,20.3,7.2,30.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-10-01,83.3,15.4,-1.6,29.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2019-05-01,65,19.1,4.8,33.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-05-01,28.6,19.4,6.6,35.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-11-01,24,7.2,-4.2,21.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-04-01,137.2,14.1,-1.9,31.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2019-04-01,106,12.9,-3.6,27.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-03-01,124.2,8.5,-5.1,26.1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-12-01,24,1.4,-11.5,17.7,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-04-01,55.8,14.6,0.5,30.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2019-03-01,36.6,8.3,-4.8,23,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-11-01,0.2,6.5,-5.5,22.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2019-02-01,28,3.1,-7.9,16.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-02-01,21.1,2.4,-9.8,16,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-03-01,34.4,6.9,-6,20.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-12-01,12.6,-0.3,-13,13.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-01-01,19.7,-1.6,-14.4,13.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2018-02-01,35,0.4,-15.2,16.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2019-01-01,15,0.3,-10.7,14.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
합천,2017-01-01,1.1,0.3,-12.4,13.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-07-01,161.4,26.2,18.2,35.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-08-01,416.2,26.2,14.9,36.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-07-01,202.1,26.5,16.3,37.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-08-01,131.8,25.2,11.7,36.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-09-01,140.7,19.4,5.7,29.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-06-01,161.5,22.5,11.8,36.7,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-09-01,97.9,19.2,4.6,29.6,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-05-01,105,18,5.2,31.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-06-01,28,21.9,8.1,35,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-10-01,61.2,14.1,-2.9,29.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2019-05-01,78,18,1.6,31.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-10-01,263,11.9,1.3,24.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-05-01,25.8,18.1,5.4,33,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2019-04-01,110.7,12.2,-4.3,27.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-04-01,145.8,13.3,-0.9,30.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2019-03-01,41.9,7.6,-4.2,22.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-12-01,20,1.6,-12.5,17.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-04-01,30.3,13.7,-0.2,29.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-11-01,28.1,6.6,-4.4,21.9,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-03-01,125,8,-6,24.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-11-01,1.9,6.5,-5.4,22.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2019-02-01,35.7,2.7,-8.4,15.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-02-01,30.3,2.3,-8.3,16.3,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-12-01,18.9,-0.2,-14,13.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-03-01,23,6.4,-5.2,21.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2017-01-01,4.1,0.6,-12.3,14.7,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-01-01,23.5,-1.6,-16,10.8,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2018-02-01,35.8,0,-14.3,15.2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
함양군,2019-01-01,16,0.7,-11,14,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
포항,2017-08-01,209,26.1,18.2,35.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-07-01,164.1,27.3,17.6,37.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-08-01,175.4,27.7,19.5,39.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-07-01,74.2,27.4,20.9,38.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-06-01,89.1,23.3,14.4,34.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-09-01,160,21.9,13.5,30.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-05-01,71.6,18.7,9.9,32.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-10-01,261.6,15.5,6,26.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-09-01,138.2,22.1,12.7,31.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-06-01,12.8,21.9,13.9,34.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-10-01,81.5,17.5,6.1,29.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2019-05-01,14.7,20.8,8.4,35.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-05-01,19.8,20.6,10,32.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2019-04-01,95.4,13.5,2.2,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-11-01,17.7,10.9,0.6,21.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-04-01,106.5,15.5,2.8,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-04-01,79.6,16.1,3.6,31.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-12-01,31.1,4,-8.3,19.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-03-01,153.7,10.2,-2.2,25.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2019-03-01,27.6,10.3,0.3,24.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-11-01,0.1,10,-1.7,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2019-02-01,22.7,5.5,-4,16.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-02-01,27.8,4.6,-5.9,17.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-02-01,33.5,2.5,-10.3,15.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-03-01,13.4,8.6,-1.9,19.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-01-01,7.4,2.9,-8,12.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2017-12-01,10.5,2.2,-8,13.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2018-01-01,20,0.6,-12.9,13.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항,2019-01-01,17.7,3.6,-5.1,13.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파주,2017-08-01,318.1,23.7,11.8,34.9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-08-01,129.5,26.5,16.6,37.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-07-01,127.4,25.5,14.8,36.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-07-01,364.3,25.3,19.9,33.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-06-01,137,20.8,11.8,31,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-09-01,50.3,19.2,6.9,30.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-09-01,23.1,19.1,4.2,29.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-06-01,42.7,20.9,9.2,33.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-05-01,208.2,16,4.5,29.9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2019-05-01,37.1,17.3,1.8,31.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-10-01,9.8,13,-3.6,26.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-05-01,44.1,16.8,5.2,29.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-10-01,102,10.3,-3.1,25.5,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2019-04-01,38.6,10.1,-5,26.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-11-01,50.5,5,-8.3,19.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-04-01,122.4,10.6,-3.8,25.3,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-11-01,16.8,2.8,-11.1,19.9,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-03-01,36.3,5.8,-9.7,21.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-04-01,65.7,11.7,-2.1,25.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-12-01,11.2,-3.2,-17.7,11.4,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2019-03-01,25.5,4.7,-7.5,16.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-02-01,16.5,-2.3,-14.9,10.7,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-03-01,9,3.8,-8.5,18.8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-01-01,12.8,-3.9,-17.9,10.1,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2017-12-01,24.9,-4.6,-18.8,8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-02-01,28.6,-4.2,-20.6,9.6,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2019-02-01,23.3,-1.2,-14.4,13.2,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2018-01-01,6.1,-6.8,-23.5,8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
파주,2019-01-01,0.2,-4,-16.1,8,0.1,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0
통영,2018-08-01,177.4,27.9,20.8,35.9,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-08-01,169.7,27.2,20.3,36.3,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2018-07-01,139.2,26.3,18.6,36.9,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-07-01,223.3,25.7,21.2,32,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-09-01,362.2,22.5,13.5,29.4,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2018-09-01,529.4,21.8,14.4,30.1,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2018-06-01,306.5,21.2,14.6,29.5,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-06-01,68.4,21,15.2,28.8,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2018-05-01,227.2,17.9,10.8,27.9,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-10-01,132.1,17.9,5.2,27.4,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2018-10-01,170.3,16.2,6.3,26.1,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2017-05-01,34.8,18.5,11.8,28.2,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
통영,2019-05-01,95.2,18.3,9.9,27.1,0,0.5,0,0,0,0,0,0.2,0.1,0,0,0,0,0.2,0,0
